class,filename,path,url,data_origin,retrieved_date,issuing_authority,PDF_or_text
Circulers,AL- MQS- REV -2010 - 02.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 - 02.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL- MQS- REV -2010 - 1 2010 04 26.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 - 1 2010 04 26.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL- MQS- REV -2010 - 1.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 - 1.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL- MQS- REV -2010 - 2 2010 04 26.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 - 2 2010 04 26.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL- MQS- REV -2010 - 2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 - 2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL- MQS- REV -2010 -01 2010 04 26.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 -01 2010 04 26.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL- MQS- REV -2010 -01.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL- MQS- REV -2010 -01.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MOS-8-1 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MOS-8-1 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MOS-8-1.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MOS-8-1.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MOS-8-2 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MOS-8-2 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MOS-8-2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MOS-8-2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,al-mqs-08 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\al-mqs-08 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-01-A 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-01-A 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-01-A.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-01-A.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-01-B 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-01-B 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-01-B.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-01-B.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-02 B 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-02 B 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-02 B PAGE 2 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-02 B PAGE 2 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-02 B PAGE 2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-02 B PAGE 2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-02 B.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-02 B.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-1 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-1 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
