class,filename,path,url,data_origin,retrieved_date_of_issuance,issuing_authority,retrieved_topic,PDF_or_text
Regulation,2158-03_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2158-03_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2245-29_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2245-29_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2248-36_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2248-36_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2248-37_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2248-37_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2258-14_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2258-14_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2258-15_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2258-15_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2317-66_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2317-66_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2324-22_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2324-22_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2338-19_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2338-19_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2339-07_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2339-07_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2343-63_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2343-63_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2355-26_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2355-26_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2358-03_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2358-03_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2371-15_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2371-15_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2392-38_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2392-38_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2392-39_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2392-39_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2397-27_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2397-27_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
Regulation,2401-24_E.pdf,\data\task1_raw_input\data_source_egz\v0_0\files\Regulation\2401-24_E.pdf,,scraped,,Government of Sri Lanka egz,,PDF
